,text,dominant_topics,dominant_topics_words
2095,What a unique and cool thing to see while in Mexico,[14],"service, fast, delicious, food, good"
2096,You must have a ticket in advance on the museum's website.,[],
2097,Not to be missed if you are interested in Kahlo or Rivera.,[7],"food, service, bad, tacos, order"
2098,"Well-organized. Beautiful museum. You have to book tickets in advance if you don't want to miss out. The day I went, they were sold out. Luckily, I had already bought them 15 days before.",[7],"food, service, bad, tacos, order"
2099,"A real robbery in a deserted area. $30 for breakfast, each American coffee, they ran out of bread early. They charge extra. You must have a reservation. Go to Cardenal instead. Rude and arrogant staff. Nice place, but definitely not worth it.",[7],"food, service, bad, tacos, order"
2100,"Excellent place and service. The spectacular view. Relatively high prices, but my ok. I don't know, miss the egg white omelet, it has escamoles.","[1, 10]","love, recommended, highly, expensive, fine, pretty, negative, cdmx, delivery, positive"
2101,Awesome experience! Delicious cocktails and a wow view! You have to make a reservation.,"[7, 11]","food, service, bad, tacos, order, excellent, service, place, attention, station"
2102,"Everything is bad, you can't choose a table, if you arrive at the breakfast deadline forget about being offered coffee or bread, the waiters are super rude, the prices are high. And we are not talking about the toilets in terrible conditions. The only redeemable thing is the view.","[0, 7, 12]","good, beautiful, place, eat, service, food, service, bad, tacos, order, hotel, location, view, staff, great"
2103,"This was such a gem of a place to find. For $85 USD, you can find a fine dining experience that would cost $200-300 normally in the states. The service was tantalizing, the view breathtaking, and the food salivating. This is a Mexico City MUST","[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
2104,"Cocktails and delicious food, at a good price, Marco's attention was very good.","[2, 5, 6, 8, 11]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food, place, wonderful, visit, castle, great, excellent, service, place, attention, station"
2105,"High end place overlooking the main square in the middle of CDMX.  Itâs a nice relaxing respite from the city below.  Much of the restaurant is covered but open air, which adds to the relaxing feel.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
2106,"Monday night in great weather.  Very special experience. Menu card with seasonal options and seasonal dishes.  Product quality, presentation and exceptional flavor. Privileged view of the square. Excellent service and atmosphere.  Highly recommended
Greater care in pest control",[13],"city, mexico, center, beautiful, historic"
2107,"Amazing views, delicious food, and excellent service. 100% recommend","[1, 8, 9, 11]","love, recommended, highly, expensive, fine, place, wonderful, visit, castle, great, toos, house, super, serve, quickly, excellent, service, place, attention, station"
2108,It is always a beautiful place,"[3, 4, 10]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, pretty, negative, cdmx, delivery, positive"
2109,"If you are a mother and you have nothing to do with your children, take them there.",[7],"food, service, bad, tacos, order"
2110,A historic site where Mexico's past and present converge! An iconic place steeped in history...,[14],"service, fast, delicious, food, good"
2111,"A truly beautiful place, worthy of the name PALACE OF FINE ARTS.","[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
2112,"Beautiful architecture, with spaces for temporary exhibitions, cultural event halls, and a bookstore. Access to the museum is controlled.",[3],"beautiful, cathedral, history, incredible, many"
2113,"Always great, although it's better to go during the week.","[10, 13]","pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
2114,Excellent atmosphere,[1],"love, recommended, highly, expensive, fine"
2115,simply beautiful,[3],"beautiful, cathedral, history, incredible, many"
2116,Very pretty,[5],"closed, interesting, noisy, horrible, favorite"
2117,A must-visit place wherever you're from...,[4],"parking, de, casa, dishes, good"
2118,Beautiful,[3],"beautiful, cathedral, history, incredible, many"
2119,"In the historic center of Mexico City, a great place to take photos, eat, or walk.","[4, 13, 14]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
2120,"Very good theater, I recommend it","[2, 5, 10]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
2121,Very beautiful place with events,"[3, 4, 5]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
2122,Incredible ð¤¯,[],
2123,"Courtesy, good atmosphere, healthy food.","[2, 8]","family, experience, place, best, nice, place, wonderful, visit, castle, great"
2124,"Good service and staff attitude, the only detail is that some tables smell like Chokia, when you sit down you have to ask for them to clean them again a couple of times.",[7],"food, service, bad, tacos, order"
2125,An order was placed through the app and they only sent a pozole and a soft drink and they don't respond.,[7],"food, service, bad, tacos, order"
2126,"I was a frequent customer at the Mundo E branch and liked the food here even more. As for the service, it was always very competent and fast ð.

Take care of your staff and treat them the best, just as they do us diners.
Teach the captains to ask for things politely, ""please,"" and ""thank you"" to those in their charge.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
2127,"The pozole already tastes like vomit, what's wrong with them?",[],
2128,"Good service, fast once you're at the table. Excellent captain.","[1, 2, 9]","love, recommended, highly, expensive, fine, family, experience, place, best, nice, toos, house, super, serve, quickly"
2129,Good,[2],"family, experience, place, best, nice"
2130,"Well, the best thing is the service, because the flavor is not;( I always have to fill my pozole with seasoning haha, the truth is I didn't even finish it because I didn't like it at all:( I don't know if I would go back","[0, 10]","good, beautiful, place, eat, service, pretty, negative, cdmx, delivery, positive"
2131,"Stews are oversalted, just like pozole.",[],
2132,"A Casa de ToÃ±o that I recommend visiting for its surroundings. The food was delicious, but the tostada de pata (duck tostada) was very thin, and we had to ask for more tostadas for our pozole since they gave us one for each of us. Other than that, everything was fine. There are ducks walking around outside â¤ï¸","[6, 12]","nice, great, amazing, place, food, hotel, location, view, staff, great"
